index,typecode,type,count
116,130603,政府机构及社会团体;交通车辆管理;验车场,727
117,070600,生活服务;电讯营业厅;电讯营业厅,713
118,090203,医疗保健服务;专科医院;眼科医院,697
119,150904|150906,交通设施服务;停车场;公共停车场|交通设施服务;停车场;路边停车场,670
120,070302,生活服务;售票处;火车票代售点,634
121,070306,生活服务;售票处;公园景点售票处,619
122,130405,政府机构及社会团体;社会团体;红十字会,572
123,150501,交通设施服务;地铁站;出入口,538
124,090206,医疗保健服务;专科医院;骨科医院,533
125,120302|120201,商务住宅;住宅区;住宅小区|商务住宅;楼宇;商务写字楼,520
126,130200,政府机构及社会团体;外国机构;外国机构相关,500
127,080502,体育休闲服务;休闲场所;垂钓园,498
128,070501,生活服务;物流速递;物流仓储场地,480
129,110100,风景名胜;公园广场;公园广场,467
130,090209,医疗保健服务;专科医院;妇科医院,465
131,070601|060305,生活服务;电讯营业厅;中国电信营业厅|购物服务;家电电子卖场;手机销售,454
132,070303,生活服务;售票处;长途汽车票代售点,425
133,130602,政府机构及社会团体;交通车辆管理;车辆管理机构,415
134,071000,生活服务;电力营业厅;电力营业厅,390
135,071700,生活服务;搬家公司;搬家公司,385
136,130600,政府机构及社会团体;交通车辆管理;交通车辆管理相关,375
137,071900,生活服务;丧葬设施;丧葬设施,372
138,070302|070301,生活服务;售票处;火车票代售点|生活服务;售票处;飞机票代售点,369
139,120301,商务住宅;住宅区;别墅,326
140,071901,生活服务;丧葬设施;陵园,323
141,130101,政府机构及社会团体;政府机关;国家级机关及事业单位,322
142,100100|100200,住宿服务;宾馆酒店;宾馆酒店|住宿服务;旅馆招待所;旅馆招待所,319
143,080401,体育休闲服务;度假疗养场所;度假村,317
144,080108,体育休闲服务;运动场馆;户外健身场所,303
145,090207,医疗保健服务;专科医院;肿瘤医院,296
146,080107,体育休闲服务;运动场馆;溜冰场,294
147,080303,体育休闲服务;娱乐场所;迪厅,290
148,061200|070000,购物服务;专卖店;专营店|生活服务;生活服务场所;生活服务场所,286
149,070201,生活服务;信息咨询中心;服务中心,285
150,150000,交通设施服务;交通服务相关;交通服务相关,270
151,100000|120302,住宿服务;住宿服务相关;住宿服务相关|商务住宅;住宅区;住宅小区,266
152,130409,政府机构及社会团体;社会团体;教会,254
153,110104,风景名胜;公园广场;水族馆,251
154,080505,体育休闲服务;休闲场所;水上活动中心,249
155,070603|060305,生活服务;电讯营业厅;中国移动营业厅|购物服务;家电电子卖场;手机销售,245
156,070605,生活服务;电讯营业厅;中国铁通营业厅,244
157,120302|100200,商务住宅;住宅区;住宅小区|住宿服务;旅馆招待所;旅馆招待所,242
158,090211,医疗保健服务;专科医院;传染病医院,238
159,130105|070000,政府机构及社会团体;政府机关;乡镇级政府及事业单位|生活服务;生活服务场所;生活服务场所,236
160,080602,体育休闲服务;影剧院;音乐厅,221
161,130105|130106,政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,216
162,120201|120302,商务住宅;楼宇;商务写字楼|商务住宅;住宅区;住宅小区,211
163,060306|071200,购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,196
164,130402,政府机构及社会团体;社会团体;少先队,190
